index,image_link,group_id,entity_name,extracted_text
46046,https://m.media-amazon.com/images/I/51ReQrFHkIL.jpg,186035,voltage,
46047,https://m.media-amazon.com/images/I/51ReQrFHkIL.jpg,186035,item_weight,
46048,https://m.media-amazon.com/images/I/51ReQrFHkIL.jpg,186035,wattage,
46049,https://m.media-amazon.com/images/I/51ReSHzO9eL.jpg,486636,item_weight,32.8cm 20.3cm 12.5cm 460g 3mm 50Cr15MoVforged
46050,https://m.media-amazon.com/images/I/51ReY-ciYQL.jpg,709627,voltage,20mAh
46051,https://m.media-amazon.com/images/I/51RecNAFBtL.jpg,347404,height,3.8 inch 4.1 inch 2.8 inch 4.3 inch
46052,https://m.media-amazon.com/images/I/51RedCxxjbL.jpg,675012,item_weight,1080p
46053,https://m.media-amazon.com/images/I/51ReihyOAzL.jpg,752266,height,5.1 inches 39.4 inches 10.2 inches 6.3 inches 6.3 inches
46054,https://m.media-amazon.com/images/I/51ReihyOAzL.jpg,752266,width,5.1 inches 39.4 inches 10.2 inches 6.3 inches 6.3 inches
46055,https://m.media-amazon.com/images/I/51RemyzZKAL.jpg,418233,height,170mm 105mm 120mm
46056,https://m.media-amazon.com/images/I/51RemyzZKAL.jpg,418233,width,170mm 105mm 120mm
46057,https://m.media-amazon.com/images/I/51Rf8c+E6NL.jpg,939426,maximum_weight_recommendation,20.1in 15in 15lbs 16.1in
46058,https://m.media-amazon.com/images/I/51RfCjjTPzL.jpg,961155,width,125mm 4.92in 2.5 79mm 13mm 3.1in 0.5in
46059,https://m.media-amazon.com/images/I/51RfEslaFLL.jpg,825239,height,110.0CM 43.3 140.0CM 55.1 210.0CM 82.7 1 Storage 8Ground 4 Windproof
46060,https://m.media-amazon.com/images/I/51RfHbzXqXL.jpg,452717,width,1.6inch 8.3inch 15.3inch 1.5inch 2.2inch 0.6inch
46061,https://m.media-amazon.com/images/I/51RfHbzXqXL.jpg,452717,depth,1.6inch 8.3inch 15.3inch 1.5inch 2.2inch 0.6inch
46062,https://m.media-amazon.com/images/I/51RfHwZVJeL.jpg,452717,width,12 cm 4.72 inch 43 cm 16.92 inch 13 cm 5.11 inch 23 cm 9.1 inch 7.5 cm 2.95 inch
46063,https://m.media-amazon.com/images/I/51RfHwZVJeL.jpg,452717,depth,12 cm 4.72 inch 43 cm 16.92 inch 13 cm 5.11 inch 23 cm 9.1 inch 7.5 cm 2.95 inch
