index,image_link,group_id,entity_name,extracted_text
105076,https://m.media-amazon.com/images/I/61ENL933u9L.jpg,347830,height,175mm 6.88in 12.1 OUTDC5V2A 100mm 3.93in 47mm 1.85in
105077,https://m.media-amazon.com/images/I/61ENN-R3p3L.jpg,359859,item_weight,100g 3.5oz 15cm 2.8 5.9in 21cm 8.3in
105078,https://m.media-amazon.com/images/I/61ENRGzi9tL.jpg,810266,height,1 HEIGHT 30oz 900ml 2.5
105079,https://m.media-amazon.com/images/I/61ENZXeW2DL.jpg,351134,width,3.66in 9.3cm 6.57in 16.7cm 5.63in 14.3cm 1.2in 3cm 4.6in 11.7cm
105080,https://m.media-amazon.com/images/I/61ENgFCj0AL.jpg,276611,width,2.04in 5.11 In 5.66in 8.66 in 30.7i 2.67 6 29in
105081,https://m.media-amazon.com/images/I/61ENiFwkWJL.jpg,347404,width,12cm 4.7in 20cm 9in 50cm 19.7in
105082,https://m.media-amazon.com/images/I/61ENjlgDboS.jpg,524117,height,18cm 16.5cm 24.5cm
105083,https://m.media-amazon.com/images/I/61ENkLQDJkL.jpg,521308,width,30.3 72.8 31.1
105084,https://m.media-amazon.com/images/I/61ENm3ac0ML.jpg,178778,height,5.1INCH 3INCH 7.3INCH
105085,https://m.media-amazon.com/images/I/61ENnzJzHAL.jpg,607488,item_weight,8.8LBS
105086,https://m.media-amazon.com/images/I/61ENoKeUKtL.jpg,599772,width,6.29in 4.13in 22in 7.48in 4.13in
105087,https://m.media-amazon.com/images/I/61ENvCc6emS.jpg,970563,height,320mm 12.6inch 7mm 75
105088,https://m.media-amazon.com/images/I/61EO+hc+RvL.jpg,864320,height,116.5CM
105089,https://m.media-amazon.com/images/I/61EO+hc+RvL.jpg,864320,width,116.5CM
105090,https://m.media-amazon.com/images/I/61EO+hc+RvL.jpg,864320,depth,116.5CM
105091,https://m.media-amazon.com/images/I/61EO+zpRluL.jpg,276611,width,560 mm 360 mm 1250 mm 40 kg
105092,https://m.media-amazon.com/images/I/61EO2vPSwNL.jpg,242256,depth,5ft 150cm 3ft 90cm
105093,https://m.media-amazon.com/images/I/61EO76WRfGL.jpg,507467,depth,20 cm
105094,https://m.media-amazon.com/images/I/61EO76WRfGL.jpg,507467,width,20 cm
105095,https://m.media-amazon.com/images/I/61EO76WRfGL.jpg,507467,height,20 cm
105096,https://m.media-amazon.com/images/I/61EO8gAl3OL.jpg,963595,height,8.2cm 3.22in 5cm 1.96in
105097,https://m.media-amazon.com/images/I/61EO8gAl3OL.jpg,963595,depth,8.2cm 3.22in 5cm 1.96in
105098,https://m.media-amazon.com/images/I/61EOAm8yriL.jpg,460806,width,3 62mm 1T 67mm 1ff 58mm
105099,https://m.media-amazon.com/images/I/61EOAm8yriL.jpg,460806,height,3 62mm 1T 67mm 1ff 58mm
105100,https://m.media-amazon.com/images/I/61EOF4ENJiL.jpg,827377,item_weight,1.55 Ibs 1.25 in 7 13 4.8 in 12 00
105101,https://m.media-amazon.com/images/I/61EOFP68rOL.jpg,521308,width,58 33 2 BACK 3 SIDE 32 7.5 22
105102,https://m.media-amazon.com/images/I/61EOFYgOXEL.jpg,853009,height,18.11in 5.11in 7.08iny 23.62in 11.81in
105103,https://m.media-amazon.com/images/I/61EOG0KZh7L.jpg,487566,width,152cm 127cm
105104,https://m.media-amazon.com/images/I/61EOG0KZh7L.jpg,487566,depth,152cm 127cm
105105,https://m.media-amazon.com/images/I/61EOTbzNwJS.jpg,261553,width,2.48in 87in 20. 11 42in
105106,https://m.media-amazon.com/images/I/61EOTbzNwJS.jpg,261553,depth,2.48in 87in 20. 11 42in
105107,https://m.media-amazon.com/images/I/61EOUE9X4OL.jpg,507619,depth,1 170cm42cm 5h3 42cm 3170cm
105108,https://m.media-amazon.com/images/I/61EOUE9X4OL.jpg,507619,width,1 170cm42cm 5h3 42cm 3170cm
105109,https://m.media-amazon.com/images/I/61EOY1Rb6BL.jpg,487566,depth,67 inch 53 inch
105110,https://m.media-amazon.com/images/I/61EOYjhgFdL.jpg,842895,width,60mm 25mm 45mm
105111,https://m.media-amazon.com/images/I/61EOZ3MsAQL.jpg,931856,depth,4.5in 6in
105112,https://m.media-amazon.com/images/I/61EOZ3MsAQL.jpg,931856,width,4.5in 6in
105113,https://m.media-amazon.com/images/I/61EOZlVcuiL.jpg,416664,height,1.7in 1.3in 2.7in 6.6in 2.7in 10.2in 1.1in
105114,https://m.media-amazon.com/images/I/61EOfjCQyCL.jpg,667819,depth,3.9cm 1.5inch 4PCS 130 8 27 25 23 0 30cm 22 2 12inch 20 14 32cm 12.6inch 8031
105115,https://m.media-amazon.com/images/I/61EOkkNa0oL.jpg,844474,height,34 cm 1803. 16 28 cm
105116,https://m.media-amazon.com/images/I/61EOn2g9BEL.jpg,866516,width,6.5cm 6.5cm 5cm 5cm
